layer_index,tensor_index,bit_index,weight_start,weight_corrupted,weight_difference,bit_flip_distance
0,"(0, 1, 1, 15)",0,-0.052217,-0.052216938231140375,4.656612873077393e-10,4.656612873077393e-10
0,"(1, 4, 1, 60)",6,0.025542,0.025542073883116245,1.4901161193847656e-08,1.4901161193847656e-08
1,"(2, 4, 2, 37)",18,-0.086310,-0.08618816873058677,0.0001220703125,0.0001220703125
0,"(3, 4, 2, 28)",29,-0.157191,-0.000502987575600855,0.15668821707367897,0.15668821707367897
0,"(2, 4, 1, 49)",23,-0.200897,-0.1930843386799097,0.0078125,0.0078125
0,"(0, 1, 1, 7)",31,0.225283,-4.790953993797302,5.0162366926670074,5.0162366926670074
1,"(1, 1, 0, 60)",17,-0.081820,-0.08188103139400482,6.103515625e-05,6.103515625e-05
0,"(0, 3, 2, 57)",8,0.074871,0.07487040478736162,1.1920928955078125e-07,1.1920928955078125e-07
0,"(3, 1, 1, 3)",4,-0.157266,-0.1572655513882637,1.4901161193847656e-08,1.4901161193847656e-08
0,"(1, 3, 0, 26)",20,-0.151890,-0.15091344434767962,0.0009765625,0.0009765625
0,"(3, 1, 2, 15)",0,0.215589,0.21558865997940302,9.313225746154785e-10,9.313225746154785e-10
0,"(1, 2, 2, 25)",8,0.019810,0.019810142926871777,5.960464477539063e-08,5.960464477539063e-08
0,"(1, 3, 2, 23)",29,-0.174657,-0.0007758846477372572,0.1738807326182723,0.1738807326182723
0,"(3, 1, 2, 8)",0,-0.028271,-0.028270635288208723,2.3283064365386963e-10,2.3283064365386963e-10
0,"(2, 1, 0, 10)",30,-0.086281,-28.17586922645569,28.089588165283203,28.089588165283203
0,"(0, 0, 1, 49)",13,-0.007684,-0.007684315089136362,4.76837158203125e-07,4.76837158203125e-07
1,"(0, 0, 1, 13)",6,0.145634,0.14563389588147402,5.960464477539063e-08,5.960464477539063e-08
0,"(2, 4, 1, 11)",7,0.232373,0.23237300384789705,1.1920928955078125e-07,1.1920928955078125e-07
1,"(0, 3, 0, 43)",20,-0.245645,-0.24466796219348907,0.0009765625,0.0009765625
0,"(4, 4, 1, 48)",28,-0.041412,-0.0016117099730763584,0.039800649508833885,0.039800649508833885
0,"(0, 2, 0, 17)",7,0.078086,0.078086216468364,5.960464477539063e-08,5.960464477539063e-08
1,"(0, 2, 0, 20)",0,-0.146217,-0.1462165703997016,9.313225746154785e-10,9.313225746154785e-10
0,"(1, 4, 1, 24)",18,0.113285,0.11340698413550854,0.0001220703125,0.0001220703125
1,"(1, 2, 0, 28)",7,-0.161742,-0.1617422066628933,1.1920928955078125e-07,1.1920928955078125e-07
0,"(2, 0, 1, 18)",22,0.025083,0.024106652941554785,0.0009765625,0.0009765625
0,"(2, 0, 2, 15)",5,-0.094587,-0.09458731347694993,1.4901161193847656e-08,1.4901161193847656e-08
